"Original","Archived","ArchivedOn","Reason"
"backend\tempCodeRunnerFile.js",".archive\cleanup-2026-03-26\backend\tempCodeRunnerFile.js","2026-03-26T21:16:24","cleanup-candidate"
"backend\err.log",".archive\cleanup-2026-03-26\backend\err.log","2026-03-26T21:16:24","cleanup-candidate"
"backend\out.log",".archive\cleanup-2026-03-26\backend\out.log","2026-03-26T21:16:24","cleanup-candidate"
"backend\audit_results.json",".archive\cleanup-2026-03-26\backend\audit_results.json","2026-03-26T21:16:24","cleanup-candidate"
"frontend\my_complaints.html",".archive\cleanup-2026-03-26\frontend\my_complaints.html","2026-03-26T21:16:24","cleanup-candidate"
"frontend\notification-component.html",".archive\cleanup-2026-03-26\frontend\notification-component.html","2026-03-26T21:16:24","cleanup-candidate"
"frontend\imageico.png",".archive\cleanup-2026-03-26\frontend\imageico.png","2026-03-26T21:16:24","cleanup-candidate"
"frontend\file.svg",".archive\cleanup-2026-03-26\frontend\file.svg","2026-03-26T21:16:24","cleanup-candidate"
"backend\audit_tester.js",".archive\cleanup-2026-03-26\backend\audit_tester.js","2026-03-26T21:16:24","cleanup-candidate"
"backend\testAdminApi.js",".archive\cleanup-2026-03-26\backend\testAdminApi.js","2026-03-26T21:16:24","cleanup-candidate"
"backend\checkDb.js",".archive\cleanup-2026-03-26\backend\checkDb.js","2026-03-26T21:16:24","cleanup-candidate"
"backend\fixDb.js",".archive\cleanup-2026-03-26\backend\fixDb.js","2026-03-26T21:16:24","cleanup-candidate"
"backend\ADMIN_API_EXAMPLES.js",".archive\cleanup-2026-03-26\backend\ADMIN_API_EXAMPLES.js","2026-03-26T21:16:24","cleanup-candidate"
"docs\AI_MODULE\SETUP_COMPLETE.md",".archive\cleanup-2026-03-26\docs\AI_MODULE\SETUP_COMPLETE.md","2026-03-26T21:16:24","cleanup-candidate"
"docs\SYSTEM\IMPLEMENTATION_SUMMARY.md",".archive\cleanup-2026-03-26\docs\SYSTEM\IMPLEMENTATION_SUMMARY.md","2026-03-26T21:16:24","cleanup-candidate"
"docs\ADMIN\SUMMARY.md",".archive\cleanup-2026-03-26\docs\ADMIN\SUMMARY.md","2026-03-26T21:16:24","cleanup-candidate"
"docs\DATABASE\IMPROVEMENTS_SUMMARY.md",".archive\cleanup-2026-03-26\docs\DATABASE\IMPROVEMENTS_SUMMARY.md","2026-03-26T21:16:24","cleanup-candidate"
"add_complaint_id.sql",".archive\cleanup-2026-03-26\add_complaint_id.sql","2026-03-26T21:16:24","cleanup-candidate"
"scrs_backup.sql",".archive\cleanup-2026-03-26\scrs_backup.sql","2026-03-26T21:16:24","cleanup-candidate"
"ADMIN_ENHANCEMENTS_COMPLETE.md",".archive\cleanup-2026-03-26\ADMIN_ENHANCEMENTS_COMPLETE.md","2026-03-26T21:16:24","cleanup-candidate"
"AUTHORITY_ENHANCEMENTS_COMPLETE.md",".archive\cleanup-2026-03-26\AUTHORITY_ENHANCEMENTS_COMPLETE.md","2026-03-26T21:16:24","cleanup-candidate"
"BUGFIX_SUMMARY.md",".archive\cleanup-2026-03-26\BUGFIX_SUMMARY.md","2026-03-26T21:16:24","cleanup-candidate"
